[constant|pass|j4|cons_d89|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d94 v16.0 M+54 (1s)
[constant|pass|j4|cons_d78|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d86 v15.5 M+50 (1s)
[constant|pass|j4|cons_d67|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 59 | 准备最大减速 1.71 v@cue 14.632387473487517 | 高速平顺 True 回退 0/0 | 采纳 d71 v13.8 M+44 (1s)
[constant|pass|j4|cons_d56|cons] 到终 True 违规 0 线前停 False 时间 35.5 E 61 | 准备最大减速 2.34 v@cue 12.67874980132775 | 高速平顺 True 回退 0/0 | 采纳 d58 v11.7 M+39 (1s)
[constant|pass|j4|cons_d44|cons] 到终 True 违规 0 线前停 False 时间 36.0 E 62 | 准备最大减速 2.34 v@cue 10.764051672379876 | 高速平顺 True 回退 0/0 | 采纳 d47 v10.8 M+28 (1s)
[constant|pass|j4|cons_d32|cons] 到终 True 违规 0 线前停 False 时间 36.0 E 61 | 准备最大减速 2.34 v@cue 11.79426590240856 | 高速平顺 False 回退 1/0 | 采纳 d36 v11.8 M+13 (1s)
[constant|pass|j4|min_d150|mini] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d158 v16.0 M+118 (1s)
[constant|pass|j4|min_d120|mini] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d126 v16.0 M+86 (1s)
[constant|pass|j4|min_d100|mini] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d102 v16.0 M+62 (1s)
[constant|pass|j4|min_d89|mini] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d94 v16.0 M+54 (1s)
[constant|pass|j4|min_d78|mini] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d86 v16.0 M+46 (1s)
