工况 0: 到达 False 违规 0 弯道超速 0 end_x 1555.7 时间 600.0 停车时长 519.0
75 x 823 v 22.2 vlim 22.2 | 弯 d 641.93 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (1.0, 245) 灯 (0.05, 98) 终 (0.1, 48) 解 (0.03, 79) | 感知 unknown 真绿 False 目标 [(1351, 9.722222222222221)] fb False
76 x 834 v 22.2 vlim 22.2 | 弯 d 634.35 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.98, 240) 灯 (0.02, 61) 终 (0.04, 46) 解 (0.09, 53) | 感知 unknown 真绿 False 目标 [(1356, 9.722222222222221)] fb False
77 x 845 v 22.2 vlim 22.2 | 弯 d 630.09 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.97, 240) 灯 (0.03, 66) 终 (0.05, 41) 解 (0.02, 101) | 感知 unknown 真绿 False 目标 [(1363, 9.722222222222221)] fb False
78 x 857 v 22.2 vlim 22.2 | 弯 d 617.59 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.99, 215) 灯 (0.04, 38) 终 (0.04, 44) 解 (0.1, 215) | 感知 unknown 真绿 False 目标 [(1364, 9.722222222222221)] fb False
79 x 868 v 22.2 vlim 22.2 | 弯 d 606.47 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.93, 148) 灯 (0.06, 68) 终 (0.03, 48) 解 (0.07, 148) | 感知 unknown 真绿 False 目标 [(1365, 9.722222222222221)] fb False
80 x 879 v 22.2 vlim 22.2 | 弯 d 590.25 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.98, 183) 灯 (0.03, 41) 终 (0.04, 39) 解 (0.06, 183) | 感知 unknown 真绿 False 目标 [(1362, 9.722222222222221)] fb False
81 x 890 v 22.2 vlim 22.2 | 弯 d 590.0 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.97, 206) 灯 (0.03, 101) 终 (0.06, 62) 解 (0.09, 82) | 感知 unknown 真绿 False 目标 [(1373, 9.722222222222221)] fb False
82 x 901 v 22.2 vlim 22.2 | 弯 d 578.88 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.6, 113) 灯 (0.04, 16) 终 (0.08, 67) 解 (0.03, 93) | 感知 unknown 真绿 False 目标 [(1375, 9.722222222222221)] fb False
83 x 912 v 22.2 vlim 22.2 | 弯 d 551.9 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.64, 128) 灯 (0.04, 71) 终 (0.09, 51) 解 (0.03, 53) | 感知 unknown 真绿 False 目标 [(1363, 9.722222222222221)] fb False
84 x 923 v 22.2 vlim 22.2 | 弯 d 528.59 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.67, 110) 灯 (0.05, 116) 终 (0.04, 42) 解 (0.05, 63) | 感知 unknown 真绿 False 目标 [(1354, 9.722222222222221)] fb False
