工况 2: 到达 False 违规 1 弯道超速 0 end_x 3000.3 时间 153.5 停车时长 0.0
80 x 879 v 22.2 vlim 22.2 | 弯 d 586.6 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.92, 197) 灯 (0.01, 76) 终 (0.06, 102) 解 (0.04, 158) | 感知 unknown 真绿 True 目标 [(1354, 9.722222222222221)] fb False
81 x 890 v 22.2 vlim 22.2 | 弯 d 571.13 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.92, 165) 灯 (0.02, 89) 终 (0.04, 88) 解 (0.03, 91) | 感知 unknown 真绿 True 目标 [(1352, 9.722222222222221)] fb False
82 x 901 v 22.2 vlim 22.2 | 弯 d 553.51 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.6, 144) 灯 (0.01, 74) 终 (0.03, 92) 解 (0.03, 86) | 感知 unknown 真绿 True 目标 [(1348, 9.722222222222221)] fb False
83 x 912 v 22.2 vlim 22.2 | 弯 d 544.57 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.55, 148) 灯 (0.01, 85) 终 (0.04, 97) 解 (0.03, 86) | 感知 unknown 真绿 True 目标 [(1352, 9.722222222222221)] fb False
84 x 923 v 22.2 vlim 22.2 | 弯 d 527.04 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.7, 117) 灯 (0.02, 73) 终 (0.06, 116) 解 (0.03, 82) | 感知 unknown 真绿 True 目标 [(1348, 9.722222222222221)] fb False
85 x 934 v 22.2 vlim 22.2 | 弯 d 516.25 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.53, 117) 灯 (0.01, 73) 终 (0.06, 103) 解 (0.04, 97) | 感知 unknown 真绿 True 目标 [(1350, 9.722222222222221)] fb False
86 x 945 v 22.2 vlim 22.2 | 弯 d 507.82 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.83, 112) 灯 (0.02, 76) 终 (0.06, 96) 解 (0.03, 88) | 感知 unknown 真绿 True 目标 [(1354, 9.722222222222221)] fb False
87 x 957 v 22.2 vlim 22.2 | 弯 d 492.78 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.86, 87) 灯 (0.02, 55) 终 (0.07, 111) 解 (0.04, 53) | 感知 unknown 真绿 True 目标 [(1352, 9.722222222222221)] fb False
88 x 968 v 22.2 vlim 22.2 | 弯 d 483.6 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.53, 86) 灯 (0.03, 55) 终 (0.06, 104) 解 (0.18, 52) | 感知 unknown 真绿 True 目标 [(1356, 9.722222222222221)] fb False
89 x 979 v 22.2 vlim 22.2 | 弯 d 472.49 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.25, 113) 灯 (0.02, 70) 终 (0.06, 101) 解 (0.03, 93) | 感知 unknown 真绿 True 目标 [(1357, 9.722222222222221)] fb False
90 x 990 v 22.2 vlim 22.2 | 弯 d 472.16 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.47, 88) 灯 (0.03, 72) 终 (0.06, 94) 解 (0.04, 88) | 感知 unknown 真绿 True 目标 [(1368, 9.722222222222221)] fb False
91 x 1001 v 22.2 vlim 22.2 | 弯 d 463.64 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.39, 68) 灯 (0.1, 68) 终 (0.04, 91) 解 (0.05, 82) | 感知 unknown 真绿 True 目标 [(1372, 9.722222222222221)] fb False
92 x 1012 v 22.2 vlim 22.2 | 弯 d 451.06 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.61, 49) 灯 (0.06, 49) 终 (0.04, 98) 解 (0.03, 89) | 感知 unknown 真绿 True 目标 [(1372, 9.722222222222221)] fb False
93 x 1023 v 22.2 vlim 22.2 | 弯 d 432.91 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.73, 22) 灯 (0.28, 25) 终 (0.04, 96) 解 (0.08, 31) | 感知 unknown 真绿 True 目标 [(1368, 9.722222222222221)] fb False
94 x 1034 v 22.2 vlim 22.2 | 弯 d 417.82 ann True act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.83, 12) 灯 (0.25, 26) 终 (0.11, 44) 解 (0.03, 23) | 感知 unknown 真绿 True 目标 [(1366, 9.722222222222221)] fb False
